timestamp,open,high,low,close,volume
1776515400000,76154.1,76163.4,76125.6,76129.6,8.18178291
1776515460000,76131.2,76177.2,76131.2,76174.5,7.45467386
1776515520000,76174.5,76210.5,76159.3,76210.5,0.76439562
1776515580000,76211.8,76220.0,76197.7,76220.0,0.26527473
1776515640000,76219.9,76225.0,76188.3,76188.3,0.52568092
1776515700000,76188.3,76188.3,76125.0,76144.8,1.17570343
1776515760000,76144.7,76186.0,76144.7,76172.8,2.09466665
1776515820000,76172.8,76182.2,76087.3,76091.4,1.25948265
1776515880000,76091.3,76119.8,76077.7,76104.4,0.95445055
1776515940000,76104.5,76105.8,76067.5,76068.6,0.86710681
1776516000000,76068.5,76102.3,76056.0,76088.1,1.71410082
1776516060000,76088.1,76110.1,76079.3,76096.6,0.66977703
1776516120000,76099.9,76112.6,76087.1,76104.8,0.746782
1776516180000,76104.8,76175.8,76100.0,76173.5,0.7229154
1776516240000,76173.6,76190.6,76171.2,76190.0,0.8772368
1776516300000,76187.9,76246.2,76187.9,76246.2,3.61831031
1776516360000,76236.8,76254.1,76200.5,76201.6,1.81938121
1776516420000,76201.7,76239.1,76201.7,76237.0,0.60632657
1776516480000,76237.0,76237.0,76199.9,76220.4,2.2942471
1776516540000,76220.4,76253.0,76210.6,76253.0,1.1902456
1776516600000,76253.0,76262.9,76241.5,76254.1,1.46968758
1776516660000,76256.0,76262.9,76249.1,76249.1,1.35274524
1776516720000,76249.1,76258.8,76249.1,76250.0,0.58660974
1776516780000,76250.1,76250.1,76250.0,76250.1,0.48799022
1776516840000,76250.1,76260.9,76228.5,76228.5,1.38505093
1776516900000,76228.5,76280.6,76228.5,76249.4,2.75325119
1776516960000,76249.3,76265.2,76201.1,76204.9,2.22005446
1776517020000,76205.0,76218.0,76201.9,76218.0,0.46598231
1776517080000,76217.9,76235.1,76217.9,76228.2,0.79552754
1776517140000,76228.2,76228.2,76205.1,76218.8,1.11158449
1776517200000,76218.7,76222.8,76177.0,76182.8,0.9914323
1776517260000,76177.4,76177.4,76167.3,76175.8,0.67226456
1776517320000,76175.8,76197.4,76167.2,76197.4,1.01893415
1776517380000,76197.3,76217.7,76192.2,76199.0,0.36722884
1776517440000,76199.0,76199.0,76144.9,76164.7,0.45332855
1776517500000,76164.6,76165.7,76154.1,76165.7,0.11718676
1776517560000,76165.7,76184.2,76165.6,76184.2,0.44421704
1776517620000,76184.1,76205.1,76172.1,76172.1,0.7758192
1776517680000,76172.1,76203.6,76172.1,76194.5,0.34014404
1776517740000,76194.4,76194.4,76159.5,76172.9,0.49179041
1776517800000,76172.9,76178.6,76172.0,76172.0,0.41573542
1776517860000,76172.0,76172.0,76159.5,76159.7,0.56907444
1776517920000,76159.7,76171.9,76159.6,76171.9,0.41658142
